,Unnamed: 0,badge,firstname,lastname,middle,scopus,score,match_1
453,453,43646,Michael,Johnson,,35290350200,1,Michael Johnson
454,454,8853,Carl,Youngdahl,K,7005817466,0.933333333,Carl Youngdahl
455,455,45819,Jerzy,Osipiuk,,6603059357,1,Jerzy Osipiuk
456,456,45845,Vitalii,Vlasko-Vlasov,,7004037961,1,Vitalii Vlasko-Vlasov
462,462,26365,Paul,Rickert,G,6701599029,0.965517241,Paul G. Rickert
463,463,26416,Linda,Gaines,L,7003624213,0.965517241,Linda L. Gaines
465,465,45801,Sasan,Bakhtiari,,6701627498,1,Sasan Bakhtiari
469,469,27857,Leslie,Poch,A,6506523720,0.916666667,Leslie Poch
470,470,27971,Kenneth,Bertram,M,6701397458,0.9375,Kenneth Bertram
472,472,29446,Nachappa,Gopalsami,,7004099947,1,Nachappa Gopalsami
475,475,40336,Yu,Tang,,55491945200,1,Yu Tang
476,476,13997,James,Matos,E,7101719972,0.962962963,James E. Matos
477,477,14302,Roger,Smith,K,55727373100,0.962962963,Roger K. Smith
478,478,46538,John,Carwardine,,6602396986,1,John Carwardine
480,480,217843,Jeffrey,Larson,M,55697496000,0.933333333,Jeffrey Larson
481,481,14327,Irshad,Ahmad,,7201878606,1,Irshad Ahmad
486,486,40659,Cheng-Lie,Jiang,,7403665868,0.933333333,Cheng Lie Jiang
487,487,44900,Isaac,Vasserman,,6701650715,1,Isaac Vasserman
489,489,23383,Peter,Baldo,M,7004126207,0.962962963,Peter M. Baldo
491,491,23412,Richard,Lell,M,6506826986,0.965517241,Richard M. Lell
492,492,32988,Kurt,Picel,C,7801505261,0.909090909,Kurt Picel
493,493,36537,John,Pearson,E,55613234194,0.965517241,John E. Pearson
494,494,41153,Jeffrey,Fortner,A,56492478200,0.971428571,Jeffrey A. Fortner
497,497,18678,David,Underwood,G,35228064700,0.971428571,David G. Underwood
500,500,32818,Ross,Overbeek,,7003786216,1,Ross Overbeek
502,502,37148,Stephen,Folga,M,55403472800,0.967741935,Stephen M. Folga
503,503,37193,John,Quinn,,35243234900,1,John Quinn
507,507,48692,Richard,Schaller,D,7101945606,0.972972973,Richard D. Schaller
518,518,21541,Steven,Pieper,C,7004506469,0.967741935,Steven C. Pieper
519,519,35759,Jose,Repond,,8068241300,1,Jose Repond
521,521,35836,Anthony,Fracaro,T,55871722700,0.971428571,Anthony T. Fracaro
523,523,23430,Cary,Davids,N,7006185989,0.962962963,Cary N. Davids
524,524,23431,Omesh,Chopra,K,7005503252,0.965517241,Omesh K. Chopra
525,525,27593,Marianne,Mintz,M,7102020493,0.933333333,Marianne Mintz
531,531,6371,Paul,Nelson,A,7402246915,0.962962963,Paul A. Nelson
532,532,24366,Roger,Blomquist,N,55384932000,0.9375,Roger Blomquist
536,536,26102,James,Miller,F,7501593812,0.965517241,James F. Miller
537,537,26107,David,Ehst,A,56123169400,0.96,David A. Ehst
538,538,26189,Karl,Rehm,E,7101963883,0.956521739,Karl E. Rehm
545,545,38999,Michael,Carpenter,P,36040214200,0.974358974,Michael P. Carpenter
547,547,38013,Abdellatif,Yacout,M,35619230000,0.974358974,Abdellatif M. Yacout
548,548,10542,Arvydas,Paulikas,P,7004422603,0.972972973,Arvydas P. Paulikas
550,550,16060,James,Morman,A,7801484115,0.965517241,James A. Morman
552,552,32600,Ahmed,Hassanein,M,7102373231,0.9375,Ahmed Hassanein
553,553,32623,John,Greene,P,7402745009,0.962962963,John P. Greene
555,555,38602,Mohan,Ramanathan,,7005717090,1,Mohan Ramanathan
